age,gender,income,employment_status,credit_score,loan_amount,previous_defaults,education,loan_approved
24,Male,29900.0,Employed,646.0,16300.0,0,Bachelor,1
54,Female,90500.0,Employed,623.0,14100.0,1,Bachelor,1
25,Female,138100.0,Employed,613.0,12400.0,0,High School,1
53,Female,30900.0,Unemployed,592.0,6800.0,0,High School,0
25,Male,36000.0,Employed,725.0,9000.0,2,High School,0
58,Male,32400.0,Employed,528.0,16800.0,0,Master,1
54,Male,55700.0,Employed,587.0,8200.0,3,Bachelor,0
46,Female,18000.0,Employed,683.0,25300.0,0,Bachelor,0
21,Female,31300.0,Unemployed,762.0,22500.0,0,High School,0
24,Female,35000.0,Employed,601.0,12100.0,0,Bachelor,1
59,Male,33500.0,Self-Employed,769.0,17500.0,1,High School,0
46,Female,33300.0,Employed,448.0,16100.0,0,Bachelor,1
53,Female,31400.0,Employed,680.0,6100.0,0,Bachelor,1
53,Male,59200.0,Unemployed,706.0,23600.0,0,Master,1
28,Male,52500.0,Employed,596.0,12600.0,0,Master,1
40,Male,94100.0,Employed,569.0,10000.0,2,High School,0
36,Male,59300.0,Unemployed,691.0,27100.0,3,Master,0
41,Female,23200.0,Self-Employed,677.0,20900.0,0,High School,0
65,Male,36900.0,Employed,611.0,31200.0,0,Bachelor,1
46,Male,35000.0,Employed,655.0,16800.0,0,High School,1
43,Female,45600.0,Employed,629.0,20500.0,0,Bachelor,1
38,Male,69300.0,Self-Employed,786.0,29100.0,0,Bachelor,1
51,Male,44000.0,Employed,738.0,49300.0,0,High School,1
62,Male,44100.0,Retired,696.0,15000.0,0,High School,1
32,Male,40300.0,Employed,840.0,20900.0,0,High School,1
21,Female,60200.0,Employed,768.0,25400.0,3,Master,0
62,Male,30200.0,Employed,786.0,25300.0,1,Bachelor,0
29,Male,19400.0,Employed,814.0,13300.0,0,High School,1
23,Female,55400.0,Employed,667.0,16900.0,0,Master,1
46,Male,48400.0,Employed,576.0,25300.0,1,High School,0
29,Female,77800.0,Self-Employed,528.0,20000.0,0,Bachelor,1
62,Male,18000.0,Employed,743.0,56900.0,0,Bachelor,0
36,Male,38200.0,Employed,598.0,15000.0,2,High School,0
44,Female,42300.0,Unemployed,850.0,11200.0,0,High School,1
34,Female,18900.0,Retired,608.0,24100.0,2,Bachelor,0
23,Female,38400.0,Employed,594.0,10300.0,0,Master,1
54,Male,72700.0,Unemployed,746.0,13700.0,2,Bachelor,0
53,Male,113900.0,Employed,748.0,18900.0,0,Bachelor,1
44,Female,65600.0,Employed,833.0,17700.0,0,Master,1
29,Male,34100.0,Self-Employed,659.0,17400.0,0,Bachelor,1
33,Male,75400.0,Self-Employed,779.0,12900.0,0,High School,1
22,Male,63300.0,Self-Employed,666.0,22500.0,0,PhD,1
27,Male,31500.0,Self-Employed,726.0,66400.0,0,Bachelor,0
41,Female,30000.0,Employed,662.0,29700.0,0,Bachelor,1
39,Male,36900.0,Employed,843.0,6000.0,3,Bachelor,0
45,Female,23700.0,Employed,850.0,14100.0,0,Bachelor,1
67,Male,34400.0,Employed,579.0,24800.0,0,High School,1
42,Female,51200.0,Employed,789.0,7400.0,1,Bachelor,1
31,Female,67500.0,Employed,601.0,4200.0,0,Bachelor,1
53,Male,33200.0,Self-Employed,779.0,11700.0,0,Bachelor,1
52,Female,80400.0,Unemployed,819.0,11100.0,0,Bachelor,1
41,Female,55600.0,Employed,598.0,48200.0,0,High School,1
59,Female,56800.0,Employed,576.0,22300.0,0,Bachelor,1
40,Female,25300.0,Self-Employed,638.0,16500.0,0,PhD,1
28,Female,99100.0,Employed,779.0,14900.0,3,Bachelor,0
62,Female,52900.0,Retired,720.0,23600.0,0,Bachelor,1
57,Male,34000.0,Employed,659.0,20300.0,0,High School,1
29,Male,31100.0,Employed,741.0,23600.0,1,Bachelor,0
45,Male,34400.0,Unemployed,655.0,21900.0,0,Master,0
45,Male,24100.0,Unemployed,691.0,33600.0,0,High School,0
53,Male,65800.0,Employed,726.0,18400.0,1,High School,1
22,Male,25400.0,Employed,721.0,28800.0,0,Bachelor,1
39,Female,46400.0,Self-Employed,824.0,22300.0,1,Bachelor,1
66,Male,32000.0,Employed,578.0,20400.0,3,Master,0
40,Male,56100.0,Self-Employed,760.0,14200.0,0,Bachelor,1
62,Female,60100.0,Employed,600.0,17300.0,0,Master,1
61,Male,29100.0,Employed,646.0,17500.0,0,High School,1
62,Female,39500.0,Employed,666.0,34400.0,0,High School,1
49,Male,19500.0,Employed,644.0,20800.0,0,Bachelor,1
26,Female,93900.0,Employed,566.0,10500.0,1,Bachelor,1
37,Female,68500.0,Employed,642.0,7100.0,0,High School,1
45,Male,20000.0,Employed,703.0,9100.0,0,High School,1
58,Male,26000.0,Employed,669.0,11900.0,0,Bachelor,1
24,Female,37500.0,Employed,805.0,23800.0,0,Master,1
50,Female,40900.0,Employed,671.0,12400.0,1,Bachelor,0
40,Female,28500.0,Unemployed,681.0,37600.0,1,Master,0
23,Female,22600.0,Employed,696.0,8600.0,0,Bachelor,1
43,Male,48900.0,Employed,669.0,26800.0,0,PhD,1
38,Male,95800.0,Employed,721.0,5900.0,0,PhD,1
46,Male,41200.0,Self-Employed,636.0,9200.0,2,Master,0
56,Female,34700.0,Employed,581.0,9900.0,1,High School,0
28,Female,32900.0,Employed,674.0,9900.0,0,Bachelor,1
37,Male,23200.0,Employed,713.0,12300.0,0,Bachelor,1
51,Male,28700.0,Self-Employed,694.0,28900.0,0,Bachelor,1
57,Male,70800.0,Self-Employed,604.0,27700.0,0,Master,1
65,Male,18000.0,Employed,694.0,9900.0,0,Master,1
53,Female,41600.0,Employed,738.0,16000.0,0,PhD,1
47,Female,40700.0,Employed,697.0,23700.0,0,Bachelor,1
65,Female,42600.0,Employed,620.0,16100.0,0,High School,1
24,Male,57700.0,Self-Employed,687.0,46500.0,0,High School,1
42,Male,41400.0,Employed,825.0,22700.0,0,High School,1
46,Female,32000.0,Employed,592.0,10700.0,0,High School,1
52,Female,28900.0,Employed,773.0,11400.0,0,High School,1
44,Female,76800.0,Employed,489.0,10100.0,0,Bachelor,1
66,Female,67500.0,Employed,634.0,11900.0,0,High School,1
55,Male,169200.0,Unemployed,643.0,18300.0,0,Master,1
57,Female,34900.0,Employed,772.0,15700.0,0,Bachelor,1
52,Male,29200.0,Employed,831.0,13600.0,3,Bachelor,0
27,Male,50300.0,Employed,775.0,25600.0,3,Bachelor,0
53,Male,49700.0,Employed,723.0,22200.0,1,High School,1
51,Male,55200.0,Employed,770.0,7000.0,0,Master,1
32,Female,61300.0,Employed,565.0,8400.0,1,High School,0
31,Male,54900.0,Employed,756.0,10000.0,0,Bachelor,1
44,Male,68700.0,Retired,586.0,11100.0,0,High School,1
28,Female,73400.0,Employed,617.0,12300.0,1,PhD,1
52,Male,74100.0,Employed,714.0,14200.0,0,Master,1
58,Male,18000.0,Employed,575.0,22300.0,0,High School,0
42,Female,45100.0,Employed,784.0,9200.0,0,PhD,1
54,Male,25300.0,Employed,680.0,11400.0,0,Bachelor,1
39,Male,68000.0,Employed,569.0,7000.0,0,Bachelor,1
40,Male,18000.0,Employed,808.0,10400.0,0,High School,1
34,Male,83700.0,Unemployed,658.0,15900.0,0,High School,1
53,Female,26000.0,Employed,666.0,10500.0,0,Master,1
30,Female,23200.0,Employed,661.0,9700.0,0,High School,1
36,Female,48000.0,Self-Employed,432.0,13300.0,0,Master,1
24,Female,33300.0,Employed,787.0,20800.0,1,Bachelor,0
47,Female,97700.0,Employed,682.0,10400.0,0,High School,1
48,Male,79300.0,Employed,693.0,33300.0,0,Bachelor,1
63,Female,31100.0,Self-Employed,738.0,10900.0,0,Bachelor,1
36,Female,67600.0,Employed,655.0,14000.0,0,PhD,1
53,Female,30600.0,Employed,585.0,36100.0,0,Bachelor,0
39,Female,30400.0,Unemployed,601.0,25500.0,0,Bachelor,0
41,Male,57400.0,Employed,754.0,16600.0,0,Bachelor,1
42,Male,83100.0,Self-Employed,679.0,22500.0,0,Bachelor,1
29,Male,32200.0,Unemployed,766.0,8400.0,1,PhD,0
29,Male,33400.0,Employed,780.0,53300.0,0,High School,1
29,Female,46700.0,Self-Employed,755.0,8700.0,0,Bachelor,1
47,Female,25700.0,Self-Employed,787.0,20400.0,0,Bachelor,1
37,Male,87800.0,Unemployed,619.0,35400.0,3,High School,0
64,Male,25500.0,Employed,731.0,21100.0,0,Bachelor,1
65,Male,29200.0,Unemployed,640.0,17500.0,0,Master,0
28,Male,97100.0,Employed,587.0,35400.0,0,High School,1
36,Male,44700.0,Self-Employed,719.0,26200.0,2,Bachelor,0
38,Male,106100.0,Employed,744.0,13500.0,0,Bachelor,1
53,Female,36000.0,Employed,651.0,45500.0,0,Bachelor,0
21,Male,141500.0,Employed,684.0,11500.0,1,High School,1
32,Male,54600.0,Employed,740.0,47800.0,2,High School,0
26,Female,27600.0,Employed,628.0,25700.0,0,High School,1
61,Male,27300.0,Employed,749.0,14200.0,0,PhD,1
25,Female,19400.0,Employed,603.0,9800.0,3,Bachelor,0
36,Female,20500.0,Employed,715.0,19900.0,0,High School,1
38,Male,28900.0,Employed,577.0,12400.0,1,High School,0
38,Male,24400.0,Employed,794.0,19200.0,0,High School,1
21,Male,18000.0,Self-Employed,738.0,28500.0,1,High School,0
39,Male,61100.0,Employed,850.0,30700.0,0,Bachelor,1
28,Male,59100.0,Employed,601.0,41500.0,0,Bachelor,1
23,Female,46800.0,Employed,737.0,9700.0,0,Bachelor,1
45,Male,22800.0,Self-Employed,678.0,20800.0,0,High School,1
25,Male,91400.0,Employed,555.0,7700.0,0,High School,1
